02:03:21 Started training model SecondModel with timestamp 1688342601761113200 using the following parameters:
class_count=12
epoch_count=100
batch_size=50
learning_rate=0.0001
weight_decay=0.0001
cuda=False
resize_size=150
use_crop=False
crop_size=250
cross_validation=True
validation_split_percentage=40
validation_epochs=30
validation_accuracy_check=10
validation_grid={'lr': [0.001, 0.0001, 5e-05, 1e-05, 1e-06], 'wd': [0.1, 0.01, 0.001, 0.0001, 1e-05]}
print_to_file=True

02:03:21 Key for the classes:
{'Aquamarine': 0, 'Beryl Golden': 1, 'Bixbite': 2, 'Chrysocolla': 3, 'Emerald': 4, 'Garnet Red': 5, 'Jasper': 6, 'Moonstone': 7, 'Opal': 8, 'Rhodolite': 9, 'Spodumene': 10, 'Tanzanite': 11}
02:03:22 ============ CV run for lr 0.001 and wd 0.1 ============
02:07:15 Epoch 20/30, train loss: 1.9843, train acc: 0.2384, val loss: 1.8784, val acc: 0.3320
02:07:19 Epoch 21/30, train loss: 1.7451, train acc: 0.2907, val loss: 1.7895, val acc: 0.3514
02:07:24 Epoch 22/30, train loss: 1.6552, train acc: 0.3721, val loss: 1.6825, val acc: 0.3398
02:07:28 Epoch 23/30, train loss: 1.5674, train acc: 0.3605, val loss: 1.7816, val acc: 0.3591
02:07:33 Epoch 24/30, train loss: 1.6462, train acc: 0.4070, val loss: 2.3392, val acc: 0.2162
02:07:38 Epoch 25/30, train loss: 1.8328, train acc: 0.3488, val loss: 1.6219, val acc: 0.4208
02:07:42 Epoch 26/30, train loss: 1.4366, train acc: 0.4360, val loss: 1.7962, val acc: 0.3514
02:07:47 Epoch 27/30, train loss: 1.4491, train acc: 0.4477, val loss: 1.8174, val acc: 0.3320
02:07:51 Epoch 28/30, train loss: 1.8296, train acc: 0.3198, val loss: 2.5375, val acc: 0.2046
02:07:56 Epoch 29/30, train loss: 1.9130, train acc: 0.3198, val loss: 2.3329, val acc: 0.2819
02:08:01 Epoch 30/30, train loss: 1.8483, train acc: 0.3430, val loss: 1.6981, val acc: 0.3282
02:08:01 Mean validation accuracy: 0.31853281853281856

02:08:01 ============ CV run for lr 0.001 and wd 0.001 ============
02:08:06 Epoch 1/30, train loss: 19.3541, train acc: 0.0698, val loss: 11.7947, val acc: 0.0927
02:08:10 Epoch 2/30, train loss: 9.7053, train acc: 0.0988, val loss: 5.4229, val acc: 0.1042
02:08:15 Epoch 3/30, train loss: 4.3736, train acc: 0.0523, val loss: 3.1693, val acc: 0.0734
02:08:20 Epoch 4/30, train loss: 2.8491, train acc: 0.1105, val loss: 2.5839, val acc: 0.1776
02:08:24 Epoch 5/30, train loss: 2.6400, train acc: 0.1453, val loss: 2.4255, val acc: 0.1197
02:08:29 Epoch 6/30, train loss: 2.4047, train acc: 0.1860, val loss: 2.3839, val acc: 0.1544
02:08:34 Epoch 7/30, train loss: 2.3386, train acc: 0.1279, val loss: 2.2584, val acc: 0.2162
02:08:38 Epoch 8/30, train loss: 2.1614, train acc: 0.2442, val loss: 2.2818, val acc: 0.1931
02:08:43 Epoch 9/30, train loss: 2.1085, train acc: 0.2151, val loss: 2.0934, val acc: 0.1892
02:08:47 Epoch 10/30, train loss: 1.9813, train acc: 0.2733, val loss: 2.0569, val acc: 0.2896
02:08:52 Epoch 11/30, train loss: 1.8975, train acc: 0.2965, val loss: 2.1264, val acc: 0.2857
02:08:57 Epoch 12/30, train loss: 1.8143, train acc: 0.2907, val loss: 1.9383, val acc: 0.3591
02:09:01 Epoch 13/30, train loss: 1.6642, train acc: 0.3779, val loss: 1.7176, val acc: 0.3514
02:09:06 Epoch 14/30, train loss: 1.5549, train acc: 0.4593, val loss: 1.9407, val acc: 0.2239
02:09:10 Epoch 15/30, train loss: 1.7755, train acc: 0.2616, val loss: 1.8645, val acc: 0.2819
02:09:15 Epoch 16/30, train loss: 1.4791, train acc: 0.3488, val loss: 1.4846, val acc: 0.4093
02:09:20 Epoch 17/30, train loss: 1.3387, train acc: 0.4419, val loss: 1.5129, val acc: 0.4054
02:09:24 Epoch 18/30, train loss: 1.1937, train acc: 0.5523, val loss: 1.4880, val acc: 0.5135
02:09:29 Epoch 19/30, train loss: 1.0884, train acc: 0.5814, val loss: 1.4268, val acc: 0.5174
02:09:33 Epoch 20/30, train loss: 1.0533, train acc: 0.5523, val loss: 1.3453, val acc: 0.5058
02:09:38 Epoch 21/30, train loss: 1.0790, train acc: 0.5930, val loss: 1.3338, val acc: 0.5946
02:09:43 Epoch 22/30, train loss: 0.8723, train acc: 0.6919, val loss: 1.3058, val acc: 0.5483
02:09:47 Epoch 23/30, train loss: 0.8299, train acc: 0.6860, val loss: 1.2555, val acc: 0.6139
02:09:52 Epoch 24/30, train loss: 0.7542, train acc: 0.6919, val loss: 1.5431, val acc: 0.5521
02:09:57 Epoch 25/30, train loss: 0.9739, train acc: 0.6105, val loss: 1.3067, val acc: 0.6062
02:10:01 Epoch 26/30, train loss: 0.8263, train acc: 0.6744, val loss: 1.3625, val acc: 0.5714
02:10:06 Epoch 27/30, train loss: 0.7785, train acc: 0.6977, val loss: 1.1939, val acc: 0.5676
02:10:10 Epoch 28/30, train loss: 0.6982, train acc: 0.7326, val loss: 1.2097, val acc: 0.5830
02:10:15 Epoch 29/30, train loss: 0.6961, train acc: 0.7209, val loss: 1.0166, val acc: 0.6564
02:10:20 Epoch 30/30, train loss: 0.6883, train acc: 0.7093, val loss: 1.4799, val acc: 0.5985
02:10:20 Mean validation accuracy: 0.5891891891891892

02:10:20 ============ CV run for lr 0.001 and wd 0.0001 ============
02:10:25 Epoch 1/30, train loss: 19.3134, train acc: 0.0698, val loss: 13.3899, val acc: 0.0888
02:10:29 Epoch 2/30, train loss: 13.6831, train acc: 0.0756, val loss: 7.6137, val acc: 0.0849
02:10:34 Epoch 3/30, train loss: 4.8582, train acc: 0.0581, val loss: 3.4859, val acc: 0.0656
02:10:39 Epoch 4/30, train loss: 3.2210, train acc: 0.0872, val loss: 2.6817, val acc: 0.1004
02:10:43 Epoch 5/30, train loss: 2.5547, train acc: 0.1395, val loss: 2.5311, val acc: 0.0849
