19:45:52 Started training model FirstModel with timestamp 1688147152202869900 using the following parameters:
class_count=12
epoch_count=100
batch_size=50
learning_rate=0.0001
weight_decay=0.0001
cuda=True
resize_size=300
use_crop=True
crop_size=250
cross_validation=True
validation_split_percentage=40
validation_epochs=30
validation_accuracy_check=10
validation_grid={'lr': [0.001, 0.0001, 5e-05, 1e-05, 1e-06], 'wd': [0.1, 0.01, 0.001, 0.0001, 1e-05]}
print_to_file=True

19:47:17 Epoch 23/30, train loss: 0.6534, train acc: 0.8140, val loss: 1.2565, val acc: 0.5830
19:47:18 Epoch 24/30, train loss: 0.7490, train acc: 0.7674, val loss: 1.3014, val acc: 0.5290
19:47:20 Epoch 25/30, train loss: 0.6864, train acc: 0.7907, val loss: 1.7931, val acc: 0.4865
19:47:21 Epoch 26/30, train loss: 0.8236, train acc: 0.7035, val loss: 1.5248, val acc: 0.5097
19:47:23 Epoch 27/30, train loss: 0.8036, train acc: 0.7209, val loss: 1.6050, val acc: 0.4788
19:47:25 Epoch 28/30, train loss: 0.7974, train acc: 0.7558, val loss: 1.5719, val acc: 0.4749
19:47:26 Epoch 29/30, train loss: 0.5937, train acc: 0.8198, val loss: 1.5939, val acc: 0.5405
19:47:28 Epoch 30/30, train loss: 0.7892, train acc: 0.7209, val loss: 1.6315, val acc: 0.4672
19:47:28 Mean validation accuracy: 0.525096525096525

19:47:28 ============ CV run for lr 0.001 and wd 0.001 ============
19:47:30 Epoch 1/30, train loss: 34.2157, train acc: 0.1105, val loss: 40.6605, val acc: 0.0811
19:47:31 Epoch 2/30, train loss: 47.7034, train acc: 0.0872, val loss: 43.8285, val acc: 0.0849
19:47:33 Epoch 3/30, train loss: 46.2030, train acc: 0.0581, val loss: 30.2266, val acc: 0.0965
19:47:35 Epoch 4/30, train loss: 20.6030, train acc: 0.1512, val loss: 13.9982, val acc: 0.1197
19:47:36 Epoch 5/30, train loss: 12.0670, train acc: 0.1802, val loss: 12.6397, val acc: 0.1351
19:47:38 Epoch 6/30, train loss: 7.5022, train acc: 0.2326, val loss: 7.3453, val acc: 0.2124
19:47:39 Epoch 7/30, train loss: 4.3674, train acc: 0.3256, val loss: 4.6865, val acc: 0.1815
19:47:41 Epoch 8/30, train loss: 4.1237, train acc: 0.2616, val loss: 3.6979, val acc: 0.2394
19:47:43 Epoch 9/30, train loss: 2.2693, train acc: 0.3721, val loss: 2.5644, val acc: 0.2780
19:47:44 Epoch 10/30, train loss: 2.0016, train acc: 0.4012, val loss: 2.2850, val acc: 0.3822
19:47:46 Epoch 11/30, train loss: 1.7632, train acc: 0.4767, val loss: 1.9561, val acc: 0.3243
19:47:47 Epoch 12/30, train loss: 1.4080, train acc: 0.5000, val loss: 1.6963, val acc: 0.3900
19:47:49 Epoch 13/30, train loss: 1.4412, train acc: 0.5349, val loss: 1.8029, val acc: 0.4440
19:47:51 Epoch 14/30, train loss: 1.3542, train acc: 0.5872, val loss: 1.6905, val acc: 0.4247
19:47:52 Epoch 15/30, train loss: 1.1029, train acc: 0.6395, val loss: 1.6262, val acc: 0.4710
19:47:54 Epoch 16/30, train loss: 0.9089, train acc: 0.6628, val loss: 1.4235, val acc: 0.5367
19:47:55 Epoch 17/30, train loss: 0.8175, train acc: 0.7384, val loss: 1.3199, val acc: 0.5830
19:47:57 Epoch 18/30, train loss: 0.7790, train acc: 0.8081, val loss: 1.3075, val acc: 0.6062
19:47:59 Epoch 19/30, train loss: 0.7377, train acc: 0.7442, val loss: 1.5821, val acc: 0.4633
19:48:00 Epoch 20/30, train loss: 0.7587, train acc: 0.7384, val loss: 1.1936, val acc: 0.6100
19:48:02 Epoch 21/30, train loss: 0.9221, train acc: 0.7326, val loss: 1.4442, val acc: 0.6023
19:48:03 Epoch 22/30, train loss: 0.7308, train acc: 0.7907, val loss: 1.3524, val acc: 0.5521
19:48:05 Epoch 23/30, train loss: 0.6355, train acc: 0.7907, val loss: 1.2602, val acc: 0.5869
19:48:07 Epoch 24/30, train loss: 0.6028, train acc: 0.8372, val loss: 1.1806, val acc: 0.6139
19:48:08 Epoch 25/30, train loss: 0.4738, train acc: 0.8895, val loss: 1.1674, val acc: 0.6680
