14:23:38 Started training model FirstModel with timestamp 1688214218321429300 using the following parameters:
class_count=12
epoch_count=1000
batch_size=50
learning_rate=0.0001
weight_decay=0
cuda=True
resize_size=100
use_crop=False
crop_size=250
cross_validation=False
validation_split_percentage=40
validation_epochs=20
validation_accuracy_check=10
validation_grid=None
print_to_file=True

14:23:38 Key for the classes:
{'Aquamarine': 0, 'Beryl Golden': 1, 'Bixbite': 2, 'Chrysocolla': 3, 'Emerald': 4, 'Garnet Red': 5, 'Jasper': 6, 'Moonstone': 7, 'Opal': 8, 'Rhodolite': 9, 'Spodumene': 10, 'Tanzanite': 11}
14:23:38 ====== Train the model using lr of 0.0001 and wd of 0 ======
14:24:21 Epoch 51/1000, train loss: 0.3045, train acc: 0.9281, val loss: 0.8645, val acc: 0.6981
14:24:22 Epoch 52/1000, train loss: 0.3273, train acc: 0.9142, val loss: 0.6826, val acc: 0.6415
14:24:23 Epoch 53/1000, train loss: 0.3008, train acc: 0.9350, val loss: 0.5614, val acc: 0.6981
14:24:24 Epoch 54/1000, train loss: 0.3035, train acc: 0.9211, val loss: 0.6666, val acc: 0.6981
14:24:25 Epoch 55/1000, train loss: 0.2765, train acc: 0.9466, val loss: 0.6903, val acc: 0.6604
14:24:25 Epoch 56/1000, train loss: 0.2822, train acc: 0.9374, val loss: 0.6721, val acc: 0.6792
14:24:26 Epoch 57/1000, train loss: 0.2794, train acc: 0.9258, val loss: 0.6527, val acc: 0.7170
14:24:27 Epoch 58/1000, train loss: 0.2529, train acc: 0.9466, val loss: 0.6135, val acc: 0.6792
14:24:28 Epoch 59/1000, train loss: 0.2517, train acc: 0.9466, val loss: 0.5985, val acc: 0.6981
14:24:29 Epoch 60/1000, train loss: 0.2350, train acc: 0.9559, val loss: 0.6400, val acc: 0.6981
14:24:30 Epoch 61/1000, train loss: 0.2452, train acc: 0.9606, val loss: 0.6010, val acc: 0.7170
14:24:31 Epoch 62/1000, train loss: 0.2417, train acc: 0.9466, val loss: 0.5976, val acc: 0.6981
14:24:31 Epoch 63/1000, train loss: 0.2262, train acc: 0.9559, val loss: 0.6300, val acc: 0.7170
14:24:32 Epoch 64/1000, train loss: 0.2248, train acc: 0.9559, val loss: 0.6535, val acc: 0.6981
14:24:33 Epoch 65/1000, train loss: 0.2260, train acc: 0.9582, val loss: 0.5890, val acc: 0.6792
14:24:34 Epoch 66/1000, train loss: 0.2190, train acc: 0.9652, val loss: 0.6045, val acc: 0.6981
14:24:35 Epoch 67/1000, train loss: 0.1993, train acc: 0.9745, val loss: 0.6860, val acc: 0.7170
14:24:36 Epoch 68/1000, train loss: 0.2060, train acc: 0.9629, val loss: 0.7211, val acc: 0.7358
14:24:36 Epoch 69/1000, train loss: 0.2020, train acc: 0.9629, val loss: 0.5323, val acc: 0.6792
14:24:37 Epoch 70/1000, train loss: 0.2134, train acc: 0.9536, val loss: 0.6892, val acc: 0.7170
14:24:38 Epoch 71/1000, train loss: 0.1927, train acc: 0.9513, val loss: 0.6191, val acc: 0.7170
14:24:39 Epoch 72/1000, train loss: 0.1815, train acc: 0.9722, val loss: 0.6062, val acc: 0.7170
14:24:40 Epoch 73/1000, train loss: 0.1754, train acc: 0.9722, val loss: 0.6985, val acc: 0.6981
14:24:41 Epoch 74/1000, train loss: 0.1737, train acc: 0.9791, val loss: 0.6337, val acc: 0.6981
14:24:41 Epoch 75/1000, train loss: 0.1881, train acc: 0.9582, val loss: 0.6028, val acc: 0.6981
14:24:42 Epoch 76/1000, train loss: 0.1808, train acc: 0.9722, val loss: 0.5963, val acc: 0.7170
14:24:43 Epoch 77/1000, train loss: 0.1668, train acc: 0.9745, val loss: 0.7326, val acc: 0.7170
14:24:44 Epoch 78/1000, train loss: 0.1618, train acc: 0.9838, val loss: 0.5316, val acc: 0.6981
14:24:45 Epoch 79/1000, train loss: 0.1670, train acc: 0.9745, val loss: 0.6889, val acc: 0.7170
14:24:46 Epoch 80/1000, train loss: 0.1698, train acc: 0.9768, val loss: 0.6688, val acc: 0.7358
14:24:46 Epoch 81/1000, train loss: 0.1632, train acc: 0.9745, val loss: 0.5911, val acc: 0.7547
14:24:47 Epoch 82/1000, train loss: 0.1512, train acc: 0.9698, val loss: 0.7188, val acc: 0.6792
14:24:48 Epoch 83/1000, train loss: 0.1524, train acc: 0.9838, val loss: 0.5947, val acc: 0.6792
14:24:49 Epoch 84/1000, train loss: 0.1490, train acc: 0.9838, val loss: 0.5994, val acc: 0.6981
14:24:50 Epoch 85/1000, train loss: 0.1520, train acc: 0.9698, val loss: 0.7115, val acc: 0.6981
14:24:51 Epoch 86/1000, train loss: 0.1376, train acc: 0.9814, val loss: 0.7735, val acc: 0.7170
14:24:51 Epoch 87/1000, train loss: 0.1423, train acc: 0.9814, val loss: 0.5302, val acc: 0.6792
14:24:52 Epoch 88/1000, train loss: 0.1263, train acc: 0.9768, val loss: 0.7634, val acc: 0.6981
14:24:53 Epoch 89/1000, train loss: 0.1276, train acc: 0.9814, val loss: 0.5704, val acc: 0.7170
14:24:54 Epoch 90/1000, train loss: 0.1230, train acc: 0.9861, val loss: 0.6412, val acc: 0.6981
14:24:55 Epoch 91/1000, train loss: 0.1213, train acc: 0.9884, val loss: 0.6985, val acc: 0.7170
14:24:56 Epoch 92/1000, train loss: 0.1279, train acc: 0.9791, val loss: 0.6440, val acc: 0.6981
14:24:56 Epoch 93/1000, train loss: 0.1239, train acc: 0.9861, val loss: 0.6703, val acc: 0.7170
14:24:57 Epoch 94/1000, train loss: 0.1304, train acc: 0.9838, val loss: 0.5355, val acc: 0.6981
14:24:58 Epoch 95/1000, train loss: 0.1266, train acc: 0.9814, val loss: 0.6762, val acc: 0.6981
14:24:59 Epoch 96/1000, train loss: 0.1288, train acc: 0.9745, val loss: 0.7477, val acc: 0.7358
14:25:00 Epoch 97/1000, train loss: 0.1091, train acc: 0.9930, val loss: 0.6307, val acc: 0.7170
14:25:01 Epoch 98/1000, train loss: 0.1037, train acc: 0.9930, val loss: 0.5733, val acc: 0.7358
14:25:02 Epoch 99/1000, train loss: 0.1074, train acc: 0.9838, val loss: 0.6117, val acc: 0.6981
14:25:02 Epoch 100/1000, train loss: 0.1010, train acc: 0.9930, val loss: 0.6486, val acc: 0.7170
14:25:03 Epoch 101/1000, train loss: 0.1075, train acc: 0.9907, val loss: 0.6125, val acc: 0.6981
14:25:04 Epoch 102/1000, train loss: 0.1312, train acc: 0.9814, val loss: 0.6294, val acc: 0.7170
14:25:05 Epoch 103/1000, train loss: 0.1136, train acc: 0.9745, val loss: 0.8780, val acc: 0.6981
14:25:06 Epoch 104/1000, train loss: 0.1219, train acc: 0.9838, val loss: 0.5451, val acc: 0.7170
14:25:07 Epoch 105/1000, train loss: 0.1052, train acc: 0.9861, val loss: 0.6074, val acc: 0.7170
14:25:07 Epoch 106/1000, train loss: 0.0955, train acc: 0.9861, val loss: 0.5986, val acc: 0.7170
14:25:08 Epoch 107/1000, train loss: 0.1044, train acc: 0.9791, val loss: 0.6195, val acc: 0.7358
14:25:09 Epoch 108/1000, train loss: 0.0905, train acc: 0.9977, val loss: 0.6455, val acc: 0.7358
14:25:10 Epoch 109/1000, train loss: 0.0916, train acc: 0.9930, val loss: 0.6140, val acc: 0.7170
14:25:11 Epoch 110/1000, train loss: 0.0811, train acc: 0.9930, val loss: 0.5940, val acc: 0.7170
14:25:12 Epoch 111/1000, train loss: 0.0836, train acc: 0.9977, val loss: 0.6651, val acc: 0.6981
14:25:12 Epoch 112/1000, train loss: 0.0760, train acc: 0.9954, val loss: 0.6449, val acc: 0.7170
14:25:13 Epoch 113/1000, train loss: 0.0779, train acc: 0.9954, val loss: 0.6329, val acc: 0.6792
14:25:14 Epoch 114/1000, train loss: 0.0694, train acc: 0.9977, val loss: 0.6137, val acc: 0.7170
14:25:15 Epoch 115/1000, train loss: 0.0661, train acc: 1.0000, val loss: 0.6881, val acc: 0.6792
14:25:16 Epoch 116/1000, train loss: 0.0656, train acc: 1.0000, val loss: 0.5989, val acc: 0.7170
